TimeStamp,NbrPulseA,NbrPulseB,NbrPulseC,NbrPulseD,NbrCoincidencePulseAB,NbrCoincidencePulseAC,NbrCoincidencePulseDB,NbrCoincidencePulseDC,NbrCoincidencePulseABC
2025-03-13T10:47:43.497949,57619,65424,82067,48,2319,2286,3,1,74
2025-03-13T10:47:43.591674,57684,65443,82817,42,2253,2224,0,1,79
2025-03-13T10:47:43.716660,57417,65841,83268,42,2414,2371,0,2,108
2025-03-13T10:47:43.810372,57712,65294,82943,42,2361,2260,1,1,72
2025-03-13T10:47:43.904100,57597,65995,83067,48,2322,2303,1,2,86
2025-03-13T10:47:43.997828,57675,66093,83085,49,2339,2287,1,3,83
2025-03-13T10:47:44.107177,57632,65726,82897,29,2313,2280,1,1,78
2025-03-13T10:47:44.199791,57826,65663,82661,60,2379,2254,1,1,93
2025-03-13T10:47:44.309012,57657,65633,82978,55,2408,2367,1,1,79
2025-03-13T10:47:44.405134,57643,65461,82822,34,2246,2284,1,1,69
2025-03-13T10:47:44.570296,57188,65522,82333,48,2360,2302,1,2,91
2025-03-13T10:47:44.708979,57115,65594,83329,48,2266,2321,3,4,74
2025-03-13T10:47:44.803905,57433,65768,82671,42,2381,2272,1,1,74
2025-03-13T10:47:44.923738,56784,64919,82919,47,2347,2240,1,0,76
2025-03-13T10:47:45.014330,57162,65597,82778,40,2322,2326,1,1,95
2025-03-13T10:47:45.097459,57785,65912,82525,37,2383,2265,1,0,86
2025-03-13T10:47:45.223193,57799,65497,82680,43,2374,2299,1,0,85
2025-03-13T10:47:45.317493,57353,65610,82914,49,2416,2356,0,1,97
2025-03-13T10:47:45.452327,57315,65448,82997,37,2372,2230,1,2,91
2025-03-13T10:47:45.566993,57928,64879,82231,43,2421,2326,1,0,83
2025-03-13T10:47:45.601021,57133,65539,82759,34,2339,2344,2,0,70
2025-03-13T10:47:45.724935,57554,64935,82347,43,2361,2336,1,0,69
2025-03-13T10:47:45.817351,56968,65334,82907,34,2280,2268,0,0,66
2025-03-13T10:47:45.902071,56839,65522,82500,40,2306,2262,0,0,67
2025-03-13T10:47:46.051805,57280,65637,81975,47,2309,2393,0,0,75
2025-03-13T10:47:46.114045,57123,65058,82812,51,2320,2277,3,0,80
2025-03-13T10:47:46.216815,57315,64995,82316,29,2307,2267,0,1,62
2025-03-13T10:47:46.296944,57443,65453,82716,42,2331,2335,0,1,75
2025-03-13T10:47:46.430428,57232,65258,82584,24,2288,2326,0,1,87
2025-03-13T10:47:46.521772,57440,65379,82526,53,2346,2349,0,1,86
2025-03-13T10:47:46.624053,56694,65398,82424,57,2293,2274,1,1,80
2025-03-13T10:47:46.705190,57176,65125,82497,44,2341,2273,0,1,80
2025-03-13T10:47:46.799913,57274,65463,82578,38,2332,2251,2,1,86
2025-03-13T10:47:46.914527,57499,65162,82659,59,2335,2311,3,1,97
2025-03-13T10:47:47.013810,57339,65287,82507,51,2312,2394,3,2,92
2025-03-13T10:47:47.099844,57189,65252,82210,48,2296,2370,4,2,80
2025-03-13T10:47:47.196573,114298,65181,82375,36,2326,2260,1,1,81
2025-03-13T10:47:47.312491,56800,64943,82039,43,2279,2251,1,1,87
2025-03-13T10:47:47.413815,57237,65351,82835,45,2209,2287,1,1,61
2025-03-13T10:47:47.509122,57135,65354,82562,56,2295,2314,3,1,72
2025-03-13T10:47:47.605992,114298,64872,82004,46,2313,2283,1,1,70
2025-03-13T10:47:47.946902,57057,65210,82361,52,2293,2337,2,1,81
2025-03-13T10:47:48.005301,57352,64778,82250,44,2318,2265,1,1,68
2025-03-13T10:47:48.116232,56818,65741,82545,53,2282,2308,3,2,66
2025-03-13T10:47:48.208829,56650,65385,82280,44,2354,2237,2,1,81
2025-03-13T10:47:48.302559,56832,65080,82316,48,2342,2325,1,0,86
2025-03-13T10:47:48.393271,57151,65380,82373,34,2257,2305,2,0,83
2025-03-13T10:47:48.516740,57515,65298,82433,54,2371,2330,2,3,78
2025-03-13T10:47:48.611371,57397,65076,82263,35,2291,2273,1,1,73
2025-03-13T10:47:48.705100,56740,65151,164602,36,2231,2246,0,1,81
2025-03-13T10:47:48.814450,57445,65695,82159,45,2285,2300,0,1,77
2025-03-13T10:47:48.910526,57004,65177,82627,48,2312,2349,0,2,89
2025-03-13T10:47:49.011027,57236,65317,82578,48,2259,2300,3,1,76
2025-03-13T10:47:49.108823,56902,65902,82122,42,2284,2304,1,2,75
2025-03-13T10:47:49.195187,56873,65572,82152,55,2351,2253,1,1,92
2025-03-13T10:47:49.304537,57354,65146,82113,31,2313,2214,1,2,70
2025-03-13T10:47:49.413127,57373,65103,82673,49,2279,2329,3,1,76
